小区名;小区地址;建筑年代;建筑类型;物业费用;物业公司;开发商;楼栋总数;房屋总数;附近门店
六建;(海淀五棵松)复兴路32号院;1960年建成;塔楼/板楼/塔板结合;暂无信息;北京六建集团公司物业管理分公司;北京六建集团公司;18栋;1316户;永定路一店/海淀区永定路西里二号楼首层
燕尚园;(海淀西二旗)西二旗燕尚园;2006年建成;板楼;1.61元/平米/月;深圳市金地物业管理有限公司;北京归谷园有限责任公司;8栋;671户;西二旗城铁店/海淀西二旗智学苑14号楼105
天秀花园澄秀园;(海淀马连洼)天秀花园澄秀园;2007年建成;板楼;1.3元/平米/月;北京龙城兴业物业管理有限公司;北京海开房地产集团公司;12栋;598户;天秀花园店/海淀区天秀花园安和园22号楼11号底墒
毛纺住宅北小区;(海淀安宁庄)安宁庄东路30号;1991年建成;板楼;0.8元/平米/月;北京市燕海物业管理中心;无开发商;10栋;942户;安宁庄东路店/海淀安宁庄东路30号商业楼首层101商铺
悦秀园;(海淀西三旗)悦秀路悦秀园;1999年建成;板楼;0.65元/平米/月;北京国广物业管理有限公司;北京首创阳光房地产有限责任公司;9栋;690户;上奥店/昌平区建材城西路87号院1号楼1090
颐源居三期;(海淀公主坟)翠微路4号;2003年建成;塔楼/板楼/塔板结合;1.94至2.2元/平米/月;北京颐源居物业管理有限责任公司;北京市万业源房地产开发有限公司;5栋;806户;翠微西里店/海淀区翠微东里小吃店1屋西2
厂洼西街10号院;(海淀厂洼)厂洼西街10号院;1998年建成;板楼;1.36元/平米/月;北京青东物业管理中心;北京长廓房地产开发有限公司;4栋;594户;厂洼街一店/海淀厂洼街7号院1号楼1层底商
玉海园一里;(海淀玉泉路)玉海园一里;1997年建成;塔楼/板楼;0.58元/平米/月;北京安居物业管理有限公司;北京海开房地产集团公司;18栋;973户;玉海园五里店/海淀玉海园五里16号楼5门102号及6门101号
新兴年代;(海淀五棵松)太平路36号院;2008年建成;塔板结合;2.5元/平米/月;北京新兴兴业物业管理有限公司;北京新兴建业房地产开发有限公司;3栋;568户;新青塔店/丰台区青塔西路12号
晴波园;(海淀世纪城)老营房路蓝靛厂晴波园;2004年建成;板楼;2.52元/平米/月;北京世纪颐和物业管理有限责任公司;北京金源鸿大房地产开发有限公司;9栋;839户;垂虹园店/海淀区蓝靛厂垂虹园3号楼
冠城南园;(海淀马甸)马甸冠城南园;1998年建成;塔楼;4元/平米/月;北京冠海物业管理公司;北京冠海房地产有限公司;6栋;590户;冠城南园店/海淀马甸路中航宿舍底墒
蓟门南里;(海淀知春路)北三环西路5号;1983年建成;板楼;暂无信息;务实物业;无开发商;10栋;716户;蓟门东里店/北京市海淀区蓟门里小区南商业楼
永达逸家;(海淀田村)玉泉路甲2号;2004年建成;塔板结合;1.76元/平米/月;北京城建物业管理有限责任公司;北京永达房地产开发有限公司;7栋;968户;畅茜园一店/海淀区畅茜园景宜里底商12号楼5号商铺
圆明园花园别墅;(海淀马连洼)圆明园西路88号院;1998年建成;板楼;2.1至2.6元/平米/月;北京大华邦物业管理有限责任公司;北京圆明园花园别墅有限公司;19栋;706户;七彩华园店/海淀区厢黄旗七彩华园16楼1层3单元0102
都市网景;(海淀双榆树)中关村东路123号院;1999年建成;塔楼;2.5元/平米/月;北京远洋物业服务公司;远洋地产;3栋;526户;联想桥北店/海淀区中关村东路123-11号都市网景3号楼底商
玉阜嘉园;(海淀玉泉路)玉泉路6号院;2002年建成;塔楼/塔板结合;1.8元/平米/月;北京君豪物业管理股份有限公司;北京海开房地产股份有限公司;5栋;832户;玉海园五里店/海淀玉海园五里16号楼5门102号及6门101号
亮甲店小区;(海淀定慧寺)八里庄路61号;1997年建成;板楼;1元/平米/月;北京城建弘城物业公司;无开发商;8栋;933户;定慧福里店/海淀区八里庄路62号院定慧福里2号楼底商
世纪新景;(海淀紫竹桥)北洼路9号;2003年建成;塔楼/板楼;1.2至2.52元/平米/月;世纪金源物业管理公司;北京隆鑫园房地产开发有限公司;6栋;1025户;中海店/海淀北洼路28号商住楼B段一层
北辰香麓;(海淀海淀北部新区)西山后新区温泉镇;2009年建成;板楼;3.98元/平米/月;北京北辰信和物业管理有限责任公司;北京北辰实业股份有限公司;42栋;722户;暂无门店信息
观山园;(海淀世纪城)蓝靛厂观山园;2004年建成;板楼;2.52元/平米/月;北京世纪颐和物业管理有限责任公司;北京金源鸿大房地产开发有限公司;6栋;699户;世纪观山店/海淀区蓝靛厂观山园底商5-4
玲珑花园;(海淀四季青)蓝靛厂南路59号;1997年建成;板楼;3.88元/平米/月;北京市玲珑花园物业发展有限公司;北京城建开发有限公司;21栋;411户;绿波国际店/海淀区五路居裕泽园小区6号楼底商
建材城东一里;(海淀西三旗)建材城东一里;1996年建成;板楼;0.8至0.86元/平米/月;北京市华远世纪物业管理有限责任公司;北京鼎昌源房地产开发有限公司;20栋;1345户;硅谷先锋店/海淀建材城东二里15,16号楼底商部分
西木小区;(海淀田村)西四环北路137号;1990年建成;塔楼/板楼;1.08元/平米/月;北京海兴物业管理中心;北京住公房地产有限公司;18栋;1086户;美丽园店/海淀区营慧寺美丽园中路美丽园小区西门底商
魏公村小区;(海淀魏公村)魏公村小区;1979年建成;板楼;暂无信息;街道办事处（委员会）代管物业;无开发商;27栋;1860户;韦伯豪家园店/海淀区韦伯豪家园6号楼对面链家地产
西三环北路86号院;(海淀甘家口)西三环北路86号院;1980年建成;塔楼/板楼/塔板结合;1.4至1.8元/平米/月;北京建工物业服务有限公司;无开发商;4栋;538户;花园桥地铁店/西三环北路97号
民族大学南路19号院;(海淀魏公村)民族大学南路19号院;1985年建成;塔楼/板楼/塔板结合;暂无信息;单位自管物业;无开发商;5栋;480户;大慧寺店/海淀大慧寺路5号（粮店）
绿谷雅园;(海淀田村)阜石路91号;2004年建成;板楼;1.25元/平米/月;北京锦绣大地物业管理有限公司;北京锦绣大地房地产开发有限公司;20栋;730户;暂无门店信息
科技大学;(海淀二里庄)学院路30号;1970年建成;塔楼/板楼/塔板结合;暂无信息;单位自管物业;北京城建集团有限责任公司;45栋;3093户;暂无门店信息
艾瑟顿;(海淀苏州桥)海淀南路34号;2006年建成;塔板结合;10.48元/平米/月;中澳达文物业管理;北京侪新房地产开发有限公司;1栋;396户;苏州街二店/海淀区海淀南路15号楼底商
阜南小区;(海淀甘家口)阜成路南;1955年建成;板楼;0.1元/平米/月;单位自管物业;无开发商;15栋;851户;工商大学店/海淀区阜成路33号院甲1号楼3单元303
涧桥泊屋;(海淀万柳)万柳中路新纪元家园;2002年建成;板楼;2.6元/平米/月;北京中实杰肯道夫物业管理有限公司;北京新纪元房地产开发有限公司;5栋;579户;涧桥泊屋一店/海淀区万柳新纪元家园2号楼底商
万寿路1号院;(海淀万寿路)万寿路1号院;1976年建成;板楼;暂无信息;中铁六局北京铁建公司方大物业管理;无开发商;23栋;1221户;紫金长安一店/海淀西翠路17号院19号楼1层商铺3
紫竹院小区;(海淀紫竹桥)紫竹院路;1988年建成;塔楼/板楼;1.2至2.3元/平米/月;北京保全物业管理有限公司;北京城建集团有限责任公司;9栋;833户;紫竹桥店/海淀西三环北路车道沟东里底商37号门市房
中关村;(海淀中关村)中关村;1994年建成;板楼/塔板结合;0.5至0.6元/平米/月;北京科住物业管理有限公司;北京中科院;10栋;942户;保福寺新店/海淀区中关村334楼4门103号
花园北路乙28号院;(海淀牡丹园)花园北路乙28号院;1985年建成;板楼;2.1元/平米/月;街道办事处（委员会）代管物业;无开发商;9栋;702户;华盛家园店/海淀区花园北路20号牡丹北里6号楼一层B
美丽星苑;(海淀四季青)五路居甲16号院;2006年建成;塔板结合;1至2.72元/平米/月;北京建工鼎力物业管理有限责任公司;北京泽翼房地产开发有限责任公司;3栋;268户;美丽经典店/美丽经典园5号楼底商
润生园;(海淀西三旗)润生园;2008年建成;板楼;0.6元/平米/月;北京新奥物业管理公司;北京金隅集团;3栋;938户;硅谷先锋店/海淀建材城东二里15,16号楼底商部分
玉渊潭南路9号院;(海淀军博)玉渊潭南路9号院;1998年建成;板楼/塔板结合;2.28元/平米/月;北京馨康景物业管理责任有限公司;暂无信息;19栋;906户;北蜂窝铁道部店/海淀区北蜂窝路5号院底商4-2
金谷园;(海淀知春路)白塔庵金谷园;1998年建成;板楼;1元/平米/月;北京博达物业管理中心;北京集达房地产开发有限公司;5栋;432户;中关村东路店/海淀 区北京青云航空仪表有限公司北宿舍区第一管区57楼一层中间部分（中关村东路101-3）
褐石;(海淀五道口)中关村北大街褐石;2007年建成;板楼;3.09至3.29元/平米/月;北京太月物业管理有限责任公司;北京泰跃房地产开发有限责任公司;29栋;796户;暂无门店信息
黄亭子小区;(海淀北太平庄)黄亭子小区;1986年建成;塔楼/板楼;0.43至1.85元/平米/月;单位自管物业;无开发商;7栋;636户;泰富店/海淀区蓟门一号9号楼105
五矿万科如园;(海淀西北旺)西北旺镇后厂村路与永丰路交汇处东南角;2013年建成;板楼;6.9元/平米/月;万科物业管理有限公司;北京万湖房地产开发有限公司;22栋;951户;壹号院店/海淀区德惠路1号院14号楼1层3-178
清润家园;(海淀清河)龙岗路51号院;1989年建成;塔楼/板楼;1.18元/平米/月;北京营盈物业管理中心;无开发商;7栋;680户;清缘里店/海淀区清河龙岗路清缘里1号楼底商
北三环中路43号院;(海淀马甸)北三环中路43号院;1982年建成;塔楼/板楼/塔板结合;1.8元/平米/月;暂无信息;暂无信息;32栋;3153户;双秀公园店/西城区北三环中路20号双秀公园东门郝鑫晓丽食品店南侧
金沟河3号院;(海淀五棵松)金沟河3号院;1988年建成;板楼;0.8元/平米/月;北京城建鑫诚物业管理有限公司;无开发商;14栋;900户;金沟河店/海淀区金沟河路5号院801号楼1层3-1-1号
青年公寓;(海淀皂君庙)北三环西路34号;1992年建成;塔板结合;0.8元/平米/月;北京亿方物业管理有限责任公司;无开发商;1栋;1017户;满庭芳园店/海淀区青云里满庭芳园8号底商
北无宿舍;(海淀紫竹桥)北洼路4号;1980年建成;板楼;1元/平米/月;单位自管物业;无开发商;10栋;686户;美林花园店/海淀区西郊北洼路二6号楼6单元1层622
美丽经典园;(海淀四季青)美丽经典园;2007年建成;板楼;2.28至2.36元/平米/月;北京银利娜物业管理中心;北京裕泽房地产开发有限责任公司;8栋;492户;美丽经典店/美丽经典园5号楼底商
纽约客;(海淀苏州桥)海淀南路36号;2006年建成;塔楼;8.2元/平米/月;北京福诺特物业管理有限公司;北京凯迪克有限责任公司;1栋;248户;苏州街二店/海淀区海淀南路15号楼底商
文成杰座;(海淀学院路)林业大学北路18号院;2005年建成;塔楼/板楼/塔板结合;2.41元/平米/月;北京宝景物业管理有限公司;北京京西北房地产开发集团有限公司;3栋;672户;林大北路店/海淀区林业大学北路18号院3号楼底商
成府路20号院;(海淀五道口)成府路20号院;1979年建成;塔楼/板楼/塔板结合;1元/平米/月;北京新兴兴业物业管理有限公司;国土资源和房屋管理局住宅合;48栋;3991户;五道口城铁店/海淀区五道口华清嘉园1号楼底商
天秀花园荷塘月舍;(海淀马连洼)天秀路天秀花园荷塘月舍;2004年建成;板楼;1.05至1.38元/平米/月;北京龙城兴业物业管理有限公司;北京海开房地产股份有限公司;9栋;384户;肖家河店/天秀花园荷塘月舍1号楼004B
阳光南里;(海淀清河)阳光南里;1995年建成;板楼;0.8元/平米/月;康苑物业管理有限公司;北京首创集团阳光房地产开发公司;11栋;600户;_橡府店/海淀区学府树家园4期4-3底商
建西苑北里;(海淀杨庄)八角东街建西苑北里;2004年建成;板楼/平房;0.55元/平米/月;北京金隅大成物业管理有限公司;北京金隅嘉业房地产开发有限公司;12栋;696户;建西苑北里店/北京市海淀区建西苑北里2号楼1层5单元商业15
建西苑中里;(海淀杨庄)八角东街建西苑中里;2000年建成;板楼;0.55元/平米/月;北京金隅大成物业管理有限公司;北京金隅嘉业房地产开发有限公司;9栋;726户;茂华一店/石景山区时代花园南路19号院20号楼底墒
鑫雅苑;(海淀皂君庙)皂君庙14号院;2000年建成;塔楼;1.5元/平米/月;新源物业管理公司;北京通达房地产开发建设总公司;3栋;515户;鑫雅苑一店/海淀区皂君庙14号院1号楼1层102
文慧园一号公寓;(海淀新街口)文慧园1号;2004年建成;塔板结合;2.2元/平米/月;北京曦和物业管理公司;北京市威凯房地产开发经营公司;1栋;222户;金晖嘉园店/海淀区德胜门西大街15号1号楼D3
翠微西里;(海淀公主坟)翠微西里;1992年建成;塔楼/板楼;0.5至1.9元/平米/月;北京首华物业管理有限公司;中国房地产开发公司;6栋;714户;颐源居胜利一店/海淀翠微东里A1号楼
皂君西里;(海淀皂君庙)皂君西里;1982年建成;板楼;暂无信息;无物业管理服务;无开发公司;10栋;660户;农科院东门店/北京海淀皂君西里7号楼南侧1幢一层商业
豪柏国际公寓;(海淀紫竹桥)西三环北路50号院;2002年建成;塔楼/板楼;2.36元/平米/月;北京城翔物业管理有限责任公司;北京新松家园房地产开发有限公司;6栋;541户;豪柏国际公寓店/海淀区西三环北路50号院1号楼106
保利海德公园;(海淀知春路)西土城路1号院;2014年建成;塔楼/板楼;6.18元/平米/月;保利物业管理（北京）有限公司;北京世博宏业房地产开发有限公司;12栋;313户;海德店/海淀区海德公园110号底商
城建小区;(海淀新街口)德胜门西大街7号院;1982年建成;塔楼/板楼;0.5至1.2元/平米/月;单位自管物业;北京城建开发有限公司;10栋;619户;远洋风景店/海淀区德胜门西大街15号8号楼底墒
静淑东里;(海淀学院路)学清路37号;1997年建成;板楼/塔板结合;1元/平米/月;北京中朗物业管理有限公司;北京大华一品置业有限公司;6栋;566户;六道口店/静淑东里1号楼3号
美欣家园;(海淀清河)小营东路16号院;2003年建成;板楼;1.5元/平米/月;北京市龙城物业管理有限公司;北京希科合力房地产开发有限公司;2栋;358户;清河小营店/海淀区清河小营东路华北电力大学底墒/海淀区清河桥东80米华北电力大学家属1栋2号
邮科社区;(海淀牡丹园)学院路40号二区;1970年建成;塔楼/板楼/平房;0.58至1.2元/平米/月;北京大唐电信物业管理公司;北京大唐电信;17栋;1146户;塔院南门店/海淀北土城西路185号
轮胎厂宿舍;(海淀西三旗)建材城西路9号院;1987年建成;板楼;0.6元/平米/月;北京房地集团有限公司第一物业管理;无开发商;8栋;558户;知本时代新店/海淀区建材城西路27号1层101
东馨园;(海淀西北旺)东北旺东馨园;1992年建成;板楼;0.6元/平米/月;北京东居物业管理有限公司;无开发商;12栋;728户;上地软件园店/海淀区东北旺路东旭园4号楼底商链家
景王坟;(海淀甘家口)景王坟;1975年建成;塔楼/板楼/塔板结合;1至5元/平米/月;单位自管物业;无开发商;6栋;814户;增光佳苑店/海淀区增光路27号院3号楼底商一层27-5层
铁东小区;(海淀军博)北蜂窝路22号院;1983年建成;塔楼/板楼/塔板结合;0.5元/平米/月;单位自管物业;丰台铁路局;22栋;1895户;会城门店/海淀区北蜂窝中路甲8号
前沙涧路7号院;(海淀海淀其它)前沙涧路7号;2009年建成;板楼;0.52至2.28元/平米/月;单位自管物业;北京城建房地产开发有限公司;26栋;1608户;暂无门店信息
文慧园北路4号院;(海淀小西天)文慧园北路4号院;1998年建成;塔板结合;0.8元/平米/月;北京金鸿物业管理有限公司;北京市威凯房地产开发经营公司;1栋;238户;今典花园店/海淀区文慧园北路24号南侧第一间第二间第三间第四间
上第MOMA;(海淀上地)安宁庄西路;2008年建成;塔板结合;3.5元/平米/月;北京当代物业管理有限责任公司;北京当代城市房地产开发有限公司;19栋;920户;当代城市家园店/海淀区安宁庄西路9号院5号楼1单元102
恩济花园;(海淀定慧寺)万寿路甲1号;1990年建成;板楼;1.38至3.38元/平米/月;北京天鸿宝地物业管理经营有限公司;北京首开天鸿集团有限公司;10栋;449户;阜成路一店/海淀区八宝庄小区40号楼一层7号
悦园;(海淀魏公村)西三环北路8号院;2007年建成;板楼/塔板结合;2.4至2.8元/平米/月;北京都市广宇物业管理有限公司;北京正阳置业房地产开发有限公司;2栋;197户;民族大学店/海淀区魏公村小区17号楼1层1门1号
紫金长安一期;(海淀五棵松)西翠路17号院;2004年建成;板楼;2.6元/平米/月;暂无信息;暂无信息;6栋;953户;紫金店/海淀区西翠路17号院20号楼一层商铺8
西王庄小区;(海淀五道口)西王庄;1987年建成;板楼;暂无信息;单位自管物业;无开发商;21栋;1296户;华清嘉园新店/海淀区五道口华清嘉园5号楼2号底商
太极小区;(海淀二里庄)卧虎桥甲6号院;1970年建成;塔楼/板楼/塔板结合;0.6至1.2元/平米/月;单位自管物业;北京城建集团;15栋;1525户;志新东路店/海淀卧虎桥甲6号7号楼1层底商
海淀九号;(海淀六里桥)莲宝路9号院;2012年建成;塔楼/板楼;2.5元/平米/月;北京新亮点物业管理有限公司;北京龙洋房地产开发有限责任公司;4栋;546户;莲宝路店/北京市海淀区莲宝路10号院慧民百佳超市
远中悦莱;(海淀苏州桥)海淀中街15号;2004年建成;塔楼;4.9元/平米/月;北京远悦物业管理有限公司;北京远中房地产开发有限公司;3栋;687户;中关村西区店/海淀区善缘街1号立方庭7号底商
知春嘉园;(海淀知春路)知春路17号;1998年建成;塔楼;2.2元/平米/月;北京蓟门物业管理有限公司;北京市海淀区房地产经营开发总公司;4栋;488户;知春路店/海淀区知春路22号写字楼一层底商
航天五院小区;(海淀魏公村)中关村南大街31号院;1981年建成;塔楼/板楼;2.72元/平米/月;天辰物业公司;无开发商;7栋;579户;大慧寺店/海淀大慧寺路5号（粮店）
学院南路32号院;(海淀小西天)学院南路32号院, 学院南路四建宿舍;1959年建成;塔楼/板楼/平房;暂无信息;单位自管物业;北京市市政四建设工程有限责任公司;23栋;1059户;天兆家园东门店/海淀区明光村16楼南侧
万泽御河湾;(海淀紫竹桥)又一村云顶水天嘉园;2008年建成;塔板结合;3.2元/平米/月;深圳市万泽物业有限公司北京分公司;北京万泽碧轩房地产开发有限公司;4栋;418户;玲珑路店/北京市海淀区北洼路29号院底商
香溪度;(海淀田村)海澜西苑;2009年建成;塔楼/板楼;2.8元/平米/月;北京大苑天地物业管理有限公司;北京青远房地产开发有限公司;6栋;567户;熙湖店/海淀区畅茜园圣华里6号楼1层108
小营东路6号院;(海淀清河)小营东路6号院;1980年建成;板楼;暂无信息;单位自管物业;无开发商;13栋;569户;清河地铁店/海淀区永泰中路永泰庄地铁A口旁边
普惠北里;(海淀公主坟)普惠北里;1983年建成;塔楼/板楼/平房;0.69至1.2元/平米/月;北京海淀万邦物业管理公司;北京六建集团公司;11栋;705户;普惠南里店/北京市海淀羊坊店街道普惠南里12号楼马路斜对面（由东向西第一间一层及二层）
建材城西一里;(海淀西三旗)建材城西一里;1981年建成;板楼;0.83元/平米/月;北京市华远世纪物业管理有限责任公司;北京城建集团;11栋;989户;知本时代新店/海淀区建材城西路27号1层101
永安东里;(海淀定慧寺)西八里庄路永安东里;1998年建成;板楼;1元/平米/月;北京鸿翔物业管理有限责任公司;无开发商;8栋;406户;定慧福里店/海淀区八里庄路62号院定慧福里2号楼底商
核二院;(海淀定慧寺)马神庙1号;1980年建成;塔楼/板楼/塔板结合;1.5元/平米/月;无物业管理服务;无开发商;24栋;2244户;玲珑路店/北京市海淀区北洼路29号院底商
汇新家园;(海淀万柳)万柳中路15号;2002年建成;塔楼/塔板结合;1元/平米/月;北京汇鑫泰和物业管理有限公司;北京万柳房地产开发有限责任公司;4栋;768户;汇新家园店/海淀区万柳汇新家园3号楼商业
幸福时光;(海淀田村)半壁店甲1号院;2004年建成;板楼;0.8元/平米/月;北京兴业源物业管理有限公司;北京兴源房地产开发有限公司;5栋;336户;乐府江南店/海淀区永定路乙1号院2号楼一单元105及103部分商业
双榆树北路;(海淀双榆树)双榆树北路;1981年建成;板楼;0.1元/平米/月;无物业管理服务;无开发商;12栋;665户;双榆树当代店/北京市海淀区双榆树北里18号楼
永定华庭;(海淀五棵松)永定路22号;2012年建成;塔楼/板楼/塔板结合;2.98元/平米/月;北京天恒瑞海物业管理有限责任公司;北京奥尼斯特房地产开发有限公司;4栋;276户;玉海园五里店/海淀玉海园五里16号楼5门102号及6门101号
卫生部小区;(海淀西直门)交大东路52号院;1986年建成;塔楼/板楼;0.5至5元/平米/月;单位自管物业;无开发商;8栋;650户;交大东路店/海淀区交大东路五十六号院1号楼一层（南向北第一间）
增光路36号院;(海淀甘家口)增光路36号院;1999年建成;板楼;1.8至2.2元/平米/月;中建物业管理公司;北京城建集团有限责任公司;2栋;387户;增光佳苑店/海淀区增光路27号院3号楼底商一层27-5层
教委计生委大院;(海淀中关村)中关村;1995年建成;板楼;0.6至30元/平米/月;嘉海物业;北京嘉海房地产开发有限责任公司;4栋;296户;保福寺新店/海淀区中关村334楼4门103号
华鸿家园;(海淀西三旗)华鸿家园;2007年建成;板楼;2.39元/平米/月;中邮物业管理有限公司;北京市利群住宅合作社;8栋;360户;富力桃园店/海淀区西三旗建材城东路富力桃园商三07号
三里河路5号院;(海淀甘家口)三里河路5号院;1955年建成;塔楼/板楼/塔板结合;暂无信息;单位自管物业;无开发商;11栋;776户;国兴家园店/海淀区首体南路2号东区7栋
上地南路6号院;(海淀上地)上地南路6号院;1998年建成;塔楼/板楼;0.5至1元/平米/月;北京华祥物业管理有限公司;北京丰利达房地产开发有限公司;3栋;246户;上地南路店/海淀上地南路10号院1号楼1层12-9
厂洼街7号院;(海淀厂洼)厂洼街7号院;1998年建成;板楼;0.65元/平米/月;单位自管物业;无开发商;5栋;408户;厂洼街一店/海淀厂洼街7号院1号楼1层底商
知春路56号院;(海淀知春路)知春路56号;1990年建成;塔楼/板楼/塔板结合;0.69至1.4元/平米/月;北京中航信实物业管理有限公司;无开发商;9栋;552户;大钟寺壹号店/海淀区大钟寺东路汉荣家园1号楼
工商大学东校区;(海淀甘家口)阜成路11号院;1980年建成;板楼/塔板结合;暂无信息;单位自管物业;无开发商;11栋;1374户;中海馥园一店/海淀增光路37号院中海馥园3号楼1层106
工商大学;(海淀甘家口)阜成路33号院;1975年建成;塔楼/板楼;暂无信息;无物业管理服务;无开发商;14栋;990户;中海馥园一店/海淀增光路37号院中海馥园3号楼1层106
智慧大厦;(海淀西直门)学院南路38号;2005年建成;塔楼;2.98元/平米/月;北京新起点物业管理有限公司;北京嘉里锦华房地产开发有限公司;1栋;440户;学院派物美店/海淀区学院南路15号院10号楼1层103
北太平庄路2号院;(海淀马甸)北太平庄路2号院;1997年建成;板楼/塔板结合;1.85至2元/平米/月;北京雅日物业管理公司;北京华源京都房地产开发有限公司;2栋;346户;月华轩店/海淀北太平庄路2号院临街门脸房（共三间）
紫竹院南路20号院;(海淀紫竹桥)紫竹院南路20号院;1965年建成;板楼/塔板结合/平房;暂无信息;单位自管物业;无开发商;14栋;947户;主语城店/海淀区首体南路9号主语家园17号楼1－103
明光北里;(海淀皂君庙)明光北里;1978年建成;塔楼/板楼/塔板结合;2.7元/平米/月;北京麦斯顿物业管理有限公司;无开发商;19栋;1719户;蓟门东里店/北京市海淀区蓟门里小区南商业楼
西直门北大街43号院;(海淀西直门)西直门北大街43号院;1991年建成;板楼;0.5元/平米/月;北京京粮置业有限公司;无开发商;7栋;555户;时代之光南门店/海淀西直门北大街45号2号楼1层101东侧部分
昌运宫;(海淀紫竹桥)昌运宫;1984年建成;塔楼/板楼/塔板结合;1.2至1.6元/平米/月;北京房修一物业管理有限公司;中城建房地产开发有限公司;7栋;989户;豪柏国际公寓店/海淀区西三环北路50号院1号楼106
文慧园10号公寓;(海淀新街口)文慧园10号公寓;2004年建成;塔楼;1.86元/平米/月;北京羲和物业管理中心;北京市威凯房地产开发经营公司;1栋;226户;文慧园二店/海淀区文慧园路10号2幢平房
羊坊店路3号院;(海淀公主坟)羊坊店路3号;1959年建成;塔楼/板楼/塔板结合;2.25至3.5元/平米/月;业主自筹物业;无开发商;15栋;1702户;暂无门店信息
富丽小区;(海淀紫竹桥)北洼西里33号;1999年建成;塔楼/板楼;1.2至2.2元/平米/月;北京天弘信物业管理有限公司;北京嘉里锦华房地产开发有限公司;6栋;390户;车道沟南里店/海淀区车道沟南里南门底商
门头馨村;(海淀西山)门头馨村北二区;2004年建成;板楼;0.42元/平米/月;北京四季嘉诚物业管理有限公司;北京京香伟业房地产开发公司;142栋;4209户;暂无门店信息
立方庭;(海淀苏州桥)善缘街1号;2006年建成;塔板结合;14元/平米/月;建国物业管理公司;北京轩盛创业房地产开发有限公司;1栋;697户;中关村西区店/海淀区善缘街1号立方庭7号底商
金隅嘉业;(海淀杨庄)八角东街建西苑北里;2007年建成;塔板结合;1.34元/平米/月;北京金隅大成物业管理有限公司;北京金隅嘉业房地产开发有限公司;3栋;739户;茂华一店/石景山区时代花园南路19号院20号楼底墒
迈豪时代;(海淀西直门)西直门北大街47号院;2001年建成;板楼;2.38至3元/平米/月;宏城物业公司;北京城建房地产开发有限公司;2栋;233户;时代之光南门店/海淀西直门北大街45号2号楼1层101东侧部分
万寿路西街11号院;(海淀万寿路)万寿路西街11号院;1987年建成;板楼;0.1元/平米/月;北京海骄物业管理有限公司;无开发商;9栋;492户;育英学校店/海淀区复兴路乙65号（北向南第二间）
枫蓝国际;(海淀小西天)西直门北大街32号院;2001年建成;塔楼/塔板结合;2.8至25元/平米/月;北京格林物业管理有限公司;北京银都房地产发展有限公司;7栋;1024户;枫蓝国际店/海淀索家坟2号29号楼8门一层底商
缘溪堂;(海淀公主坟)玉渊潭南路11号院;2006年建成;塔板结合;6.8元/平米/月;第一太平戴维斯物业管理公司;首创置业股份有限公司;3栋;331户;普惠南里店/北京市海淀羊坊店街道普惠南里12号楼马路斜对面（由东向西第一间一层及二层）
林大北路9号院;(海淀学院路)林大北路9号院;1988年建成;板楼;暂无信息;无物业管理服务;城建四公司;6栋;659户;林大北路店/海淀区林业大学北路18号院3号楼底商
万泉庄1号院;(海淀苏州桥)万泉庄1号院;1983年建成;板楼;0.8元/平米/月;北京安居物业管理有限公司;北京万泉房地产开发有限公司;6栋;258户;稻香园西里店/海淀万泉河路73号一层部分
半壁街南路1号院;(海淀紫竹桥)半壁街南路1号院;1988年建成;塔楼/板楼;1.9至2.1元/平米/月;单位自管物业;无开发商;5栋;552户;厂洼街一店/海淀厂洼街7号院1号楼1层底商
育新嘉园;(海淀西三旗)悦秀路育新嘉园;2000年建成;塔楼/板楼;1.32元/平米/月;鹏海物业管理公司;北京高苑房地产开发有限公司;3栋;355户;莱圳店/海淀区莱圳家园17号楼
清秀阁;(海淀清河)毛纺路36号院;2005年建成;板楼;1.5元/平米/月;北京华泰龙安物业管理有限责任公司;北京方宏置业有限责任公司;4栋;159户;力度店/海淀区清河中介69号院1层63-31
海云轩;(海淀西直门)联慧路99号;2000年建成;塔板结合;2.2元/平米/月;北京西瀛物业管理有限公司;北京西瀛房地产开发有限公司;1栋;374户;金晖嘉园店/海淀区德胜门西大街15号1号楼D3
金沟河5号院;(海淀五棵松)金沟河5号院;1983年建成;板楼;1元/平米/月;单位自管物业;无开发商;27栋;1569户;金沟河店/海淀区金沟河路5号院801号楼1层3-1-1号
红杉国际公寓;(海淀五道口)红杉国际公寓;2010年建成;塔板结合;4.8元/平米/月;北京德佳物业管理有限公司;北京中鸿房地产开发有限公司;2栋;666户;清华东路店/海淀东王庄小区11号楼底商南侧第二间
__国际;(海淀六里桥)莲宝路9号院;2008年建成;塔楼/平房;2.5元/平米/月;北京新亮点物业管理有限公司;北京龙洋房地产开发有限责任公司;1栋;573户;莲宝路店/北京市海淀区莲宝路10号院慧民百佳超市
中纺宿舍;(海淀甘家口)增光路21号院;1960年建成;板楼/塔板结合;暂无信息;单位自管物业;无开发商;15栋;1068户;甘家口壹店/海淀甘家口185号新新商务楼一层底商（由北向南第一间）
复兴路79号院;(海淀五棵松)复兴路79号院;1986年建成;塔楼/板楼/塔板结合;1元/平米/月;单位自管物业;无开发商;19栋;1532户;永定路一店/海淀区永定路西里二号楼首层
